Full name of player,Rating
"Pjotr , not Iljitsj Crankleford",1014
"Pjotr , not Iljitsj Fizzlebottom",866
"Pjotr , not Iljitsj Fluffernutter",3019
"Pjotr , not Iljitsj Johnsonessuh",2319
"Pjotr , not Iljitsj Joneysah",3100
"Pjotr , not Iljitsj Kern",1590
"Pjotr , not Iljitsj Leia",2428
"Pjotr , not Iljitsj McQuirklebee",2418
"Pjotr , not Iljitsj Smittoniaya",376
"Pjotr , not Iljitsj Snickerdoodle",1259
"Pjotr , not Iljitsj Twistlepuff",774
"Pjotr , not Iljitsj VonWobbleton",3430
"Pjotr , not Iljitsj Williamzz",3227
"Pjotr , not Iljitsj Wobblewitz",1639
"Pjotr , not Iljitsj X",783
"Pjotr , not Iljitsj Zigglewitz",3219
"Pjotr , not Iljitsj van , Peter",2129
Pubby Atreides,3370
Pubby Brownows,1595
Pubby Bumblethorpe,3400
Pubby Crankleford,3221
Pubby Fizzlebottom,2202
Pubby Johnsonessuh,483
Pubby Joneysah,591
Pubby Kern,2119
Pubby Leia,2357
Pubby Smittoniaya,1016
Pubby Snickerdoodle,981
Pubby VonWobbleton,306
Pubby Williamzz,3195
Pubby Wobblewitz,2143
Pubby X,170
Pubby Zigglewitz,777
"Pubby van , Peter",241
Wally Atreides,809
Wally Brownows,1655
Wally Bumblethorpe,1891
Wally Crankleford,1482
Wally Fizzlebottom,3308
Wally Fluffernutter,294
Wally Johnsonessuh,575
Wally Joneysah,1690
Wally Kern,1290
Wally Leia,3387
Wally McQuirklebee,780
Wally Smittoniaya,3044
Wally Snickerdoodle,1540
Wally Twistlepuff,2597
Wally VonWobbleton,1851
Wally Williamzz,823
Wally Wobblewitz,232
Wally X,2327
Wally Zigglewitz,1296
Wanda Atreides,1771
Wanda Brownows,720
Wanda Crankleford,753
Wanda Fizzlebottom,357
Wanda Fluffernutter,460
Wanda Joneysah,1068
Wanda Kern,507
Wanda Leia,2054
Wanda McQuirklebee,2338
Wanda Smittoniaya,1948
Wanda Snickerdoodle,1724
Wanda Twistlepuff,2337
Wanda VonWobbleton,2968
Wanda Williamzz,2824
Wanda Wobblewitz,860
Wanda X,2373
Wanda Zigglewitz,1030
