Full name of player,Rating
Hobbit Crankleford,1845
Hobbit Fizzlebottom,3254
Hobbit Joneysah,2357
Hobbit Kern,1347
Hobbit Leia,1918
Hobbit McQuirklebee,2884
Hobbit Smittoniaya,1817
Hobbit Snickerdoodle,2882
Hobbit Twistlepuff,2154
Hobbit VonWobbleton,2938
Hobbit Williamzz,2579
Hobbit X,2656
"Hobbit van , Peter",1615
Mefisto Atreides,1450
Mefisto Brownows,2358
Mefisto Bumblethorpe,1513
Mefisto Crankleford,1188
Mefisto Fizzlebottom,3216
Mefisto Johnsonessuh,1801
Mefisto Joneysah,2443
Mefisto Kern,1252
Mefisto Leia,3310
Mefisto McQuirklebee,3353
Mefisto Smittoniaya,1488
Mefisto Snickerdoodle,3384
Mefisto Twistlepuff,2591
Mefisto VonWobbleton,1848
Mefisto Williamzz,2103
Mefisto X,2646
Mefisto Zigglewitz,3094
Mickey Atreides,1510
Mickey Bumblethorpe,1909
Mickey Crankleford,1291
Mickey Fizzlebottom,3201
Mickey Johnsonessuh,2440
Mickey Kern,2344
Mickey Leia,1284
Mickey McQuirklebee,1291
Mickey Smittoniaya,2805
Mickey Twistlepuff,1803
Mickey VonWobbleton,3418
Mickey Williamzz,3349
Mickey X,2667
Mickey Zigglewitz,2232
"Mickey van , Peter",1887
"Pjotr , not Iljitsj Brownows",2946
"Pjotr , not Iljitsj Bumblethorpe",2552
"Pjotr , not Iljitsj Crankleford",1898
"Pjotr , not Iljitsj Joneysah",2832
"Pjotr , not Iljitsj Kern",1728
"Pjotr , not Iljitsj Leia",1464
"Pjotr , not Iljitsj McQuirklebee",1238
"Pjotr , not Iljitsj Smittoniaya",3385
"Pjotr , not Iljitsj Snickerdoodle",3396
"Pjotr , not Iljitsj Twistlepuff",2102
"Pjotr , not Iljitsj VonWobbleton",2212
"Pjotr , not Iljitsj Williamzz",1859
"Pjotr , not Iljitsj X",1698
"Pjotr , not Iljitsj Zigglewitz",2647
"Pjotr , not Iljitsj van , Peter",2941
Pubby Brownows,2533
Pubby Bumblethorpe,3232
Pubby Crankleford,1780
Pubby Johnsonessuh,1980
Pubby Joneysah,3393
Pubby Kern,2213
Pubby Leia,2616
Pubby McQuirklebee,3245
Pubby Smittoniaya,2585
Pubby Snickerdoodle,1691
Pubby Twistlepuff,1798
Pubby VonWobbleton,3338
Pubby Williamzz,2854
Pubby Zigglewitz,3138
"Pubby van , Peter",1663
Wally Atreides,1436
Wally Bumblethorpe,1561
Wally Crankleford,2386
Wally Fizzlebottom,2210
Wally Joneysah,1273
Wally Kern,2552
Wally Leia,2970
Wally McQuirklebee,2094
Wally Smittoniaya,2849
Wally Twistlepuff,2763
Wally VonWobbleton,3339
Wally Williamzz,1592
Wally X,2266
Wally Zigglewitz,3255
"Wally van , Peter",2631
Wanda Atreides,1929
Wanda Brownows,3099
Wanda Bumblethorpe,3400
Wanda Crankleford,3249
Wanda Fizzlebottom,2999
Wanda Johnsonessuh,2055
Wanda Joneysah,2689
Wanda Leia,1189
Wanda McQuirklebee,1564
Wanda Smittoniaya,3399
Wanda Snickerdoodle,2216
Wanda Twistlepuff,2366
Wanda VonWobbleton,1832
Wanda X,2798
"Wanda van , Peter",3349
